Steps,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Entropy,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
,,,,,,,,,,,,,
10000,0.17580731,0.16089763,1.8512968,0,-0.639918591,197.9448819,-0.639918657,1.276639299,0.047757953,0.09830437,0.000399139,0.7980267,1.0151501
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,1.6250554,0,-0.757348084,221.0222222,0.02443918,0.2983096,-0.7518334,1.521899495,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
20000,0.02443918,0.2983096,-0.7518334,1.521899495,1.6250554,0,-0.757348084,221.0222222,0.005944599,0.10433594,0.000398831,0.5027474,0.8150709
,,,,,,,,,,,,,
